,Address,Coordinates
1941,15 TECK WHYE LANE,"('1.37913357256794', '103.7547387164')"
1942,17 TECK WHYE LANE,"('1.37919759061172', '103.753933666216')"
1943,612 CLEMENTI WEST ST 1,"('1.303442198537', '103.768633365525')"
1944,364 CLEMENTI AVE 2,"('1.31240641918888', '103.768752275192')"
1945,428 CLEMENTI AVE 3,"('1.31251199282409', '103.763268844666')"
1946,327 CLEMENTI AVE 5,"('1.31398325156569', '103.766533052946')"
1947,352 CLEMENTI AVE 2,"('1.31427265951788', '103.771360860916')"
1948,513 WEST COAST RD,"('1.30866602211237', '103.760258216299')"
1949,374 CLEMENTI AVE 4,"('1.31912618587195', '103.766983653394')"
1950,511 WEST COAST DR,"('1.31032016677093', '103.760411562158')"
1951,410 C'WEALTH AVE WEST,"('1.31144123230238', '103.769691998438')"
1952,324 CLEMENTI AVE 5,"('1.31513481889266', '103.766273233828')"
1953,350 CLEMENTI AVE 2,"('1.31562015307532', '103.770191690378')"
1954,318 CLEMENTI AVE 4,"('1.31803746016205', '103.765413358653')"
1955,316 CLEMENTI AVE 4,"('1.3184700954521', '103.764526086951')"
1956,348 CLEMENTI AVE 5,"('1.31677716280701', '103.770897098036')"
1957,373 CLEMENTI AVE 4,"('1.31949018164234', '103.767337871668')"
1958,381 CLEMENTI AVE 5,"('1.3185553480936', '103.768028348058')"
1959,355 CLEMENTI AVE 2,"('1.3144512993879', '103.769564479655')"
1960,102 CLEMENTI ST 14,"('1.32228557225905', '103.769201884359')"
1961,95 ALJUNIED CRES,"('1.32170329030889', '103.886195689242')"
1962,124 GEYLANG EAST AVE 1,"('1.31838863767065', '103.8866756731')"
1963,414 EUNOS RD 5,"('1.31811559287301', '103.898220673165')"
1964,32 CASSIA CRES,"('1.30941607107151', '103.883900101162')"
1965,95 OLD AIRPORT RD,"('1.30840477810117', '103.887347527399')"
1966,99 OLD AIRPORT RD,"('1.30858953829757', '103.888244872808')"
1967,315 UBI AVE 1,"('1.32935634839085', '103.903220788002')"
1968,314 UBI AVE 1,"('1.32929452580121', '103.903634766965')"
1969,313 UBI AVE 1,"('1.32906022188765', '103.903899355526')"
1970,2 HAIG RD,"('1.31229349318871', '103.897692815712')"
1971,122 GEYLANG EAST CTRL,"('1.3176795026583', '103.884971542991')"
1972,34 CASSIA CRES,"('1.30964078422608', '103.884471779925')"
1973,31 BALAM RD,"('1.32968232972727', '103.885407998763')"
1974,324 UBI AVE 1,"('1.32829434946575', '103.904204443823')"
1975,125 ALJUNIED RD,"('1.32327006239711', '103.881752246858')"
1976,22 EUNOS CRES,"('1.32475910483394', '103.902107398949')"
1977,51 SIMS DR,"('1.31629232098944', '103.878898984422')"
1978,50 SIMS DR,"('1.31649949089692', '103.878383818547')"
1979,19 HOUGANG AVE 3,"('1.36378961600309', '103.891813266061')"
1980,22 HOUGANG AVE 3,"('1.36428542444529', '103.89046790222')"
1981,129 LOR AH SOO,"('1.35151849772357', '103.887577515817')"
1982,155 HOUGANG ST 11,"('1.35265338944725', '103.880292681446')"
1983,249 HOUGANG AVE 3,"('1.35961214567102', '103.891908245303')"
1984,6 TEBAN GDNS RD,
1985,34 TEBAN GDNS RD,"('1.31987963533782', '103.741754021124')"
1986,339 JURONG EAST AVE 1,"('1.34953251705686', '103.731532178493')"
1987,402 PANDAN GDNS,"('1.32075547790486', '103.74951968623')"
1988,414 PANDAN GDNS,"('1.32008314222894', '103.747247313974')"
1989,239 JURONG EAST ST 21,"('1.34096483548865', '103.74091413759')"
1990,260 JURONG EAST ST 24,"('1.34372175616439', '103.740222868909')"
1991,305 JURONG EAST ST 32,"('1.34543656763546', '103.735240571701')"
1992,219A JURONG EAST ST 21,"('1.34060750883164', '103.737453992981')"
1993,220 JURONG EAST ST 21,"('1.34107109436442', '103.737469981521')"
1994,112 HO CHING RD,"('1.33388558101654', '103.723688445754')"
1995,440 JURONG WEST AVE 1,"('1.35131146892729', '103.722836259059')"
1996,531 JURONG WEST ST 52,"('1.34908423801413', '103.715342876347')"
1997,424 JURONG WEST AVE 1,"('1.35105755054314', '103.724885928904')"
1998,537 JURONG WEST AVE 1,"('1.3505040127211', '103.716474864776')"
1999,412 JURONG WEST ST 42,"('1.35325102149052', '103.726140256506')"
2000,483 JURONG WEST ST 41,"('1.34735305647602', '103.725320414071')"
2001,532 JURONG WEST ST 52,"('1.34914510993285', '103.716015402933')"
2002,553 JURONG WEST ST 42,"('1.35312055853389', '103.718929648444')"
2003,401 JURONG WEST ST 42,"('1.3534249409359', '103.721442695629')"
2004,201 BOON LAY DR,"('1.34326615072684', '103.715411866571')"
2005,202 BOON LAY DR,"('1.34378470716235', '103.715093852955')"
2006,204 BOON LAY DR,"('1.34439040632356', '103.715097702741')"
2007,206 BOON LAY DR,"('1.34495240658985', '103.715039943131')"
2008,221 BOON LAY PL,"('1.34637376407877', '103.712472819666')"
2009,86 WHAMPOA DR,"('1.32313609086907', '103.855871591303')"
2010,93 GEYLANG BAHRU,"('1.32218898844635', '103.871612008197')"
2011,96 GEYLANG BAHRU,"('1.32338061098186', '103.870461630612')"
2012,34 JLN BAHAGIA,"('1.32698180867095', '103.857761761594')"
2013,27 JLN BAHAGIA,"('1.32602102238192', '103.858991981159')"
2014,102 JLN RAJAH,"('1.32822306444761', '103.851519753845')"
2015,6 ST. GEORGE'S LANE,"('1.32328058266215', '103.858879246968')"
2016,42 CAMBRIDGE RD,"('1.31600523636073', '103.849791577341')"
2017,11 ST. GEORGE'S RD,"('1.32292326712558', '103.863230452849')"
2018,38 UPP BOON KENG RD,"('1.31804081085615', '103.874222824064')"
2019,64 MARINE DR,"('1.3021128018146', '103.909481434662')"
2020,1 MARINE TER,"('1.30482902187779', '103.918614976369')"
2021,62 C'WEALTH DR,"('1.29849315572286', '103.797091217553')"
2022,29 TANGLIN HALT RD,"('1.29884708494079', '103.799641187531')"
2023,56 C'WEALTH DR,"('1.29752802071581', '103.797090201067')"
2024,45 TANGLIN HALT RD,"('1.29919438508046', '103.798524522256')"
2025,40 TANGLIN HALT RD,"('1.29798643686938', '103.798580757401')"
2026,162 MEI LING ST,"('1.29225467139033', '103.802856952057')"
2027,163 STIRLING RD,"('1.29187643649549', '103.802632277067')"
2028,43 HOLLAND DR,"('1.30743411126247', '103.792897574712')"
2029,35 DOVER RD,
2030,91 C'WEALTH DR,"('1.30587034566154', '103.799763604345')"
2031,109 C'WEALTH CRES,"('1.30724943075855', '103.798938288338')"
2032,68 C'WEALTH DR,"('1.29898437435127', '103.796077213727')"
2033,15 GHIM MOH RD,"('1.30914384256219', '103.788419918626')"
2034,5 BUANGKOK STH FARMWAY 1,
2035,1 SELETAR WEST FARMWAY 6,
2036,2 SELETAR WEST FARMWAY 6,
2037,4 LOR LEW LIAN,"('1.35026200356709', '103.876485050647')"
2038,306 SERANGOON AVE 2,"('1.35417024638782', '103.866885724974')"
2039,104 SERANGOON NTH AVE 1,"('1.37059316193953', '103.871086801722')"
2040,229 SERANGOON AVE 4,"('1.35598199427883', '103.870277102674')"
2041,118 SERANGOON NTH AVE 1,"('1.36759548630876', '103.870917753447')"
2042,122 SERANGOON NTH AVE 1,"('1.36669092359185', '103.871359067279')"
2043,307 SERANGOON AVE 2,"('1.35462817749301', '103.867068733428')"
2044,231 SERANGOON AVE 3,"('1.35501762599795', '103.868367739693')"
2045,239 SERANGOON AVE 2,"('1.35319103281952', '103.868691793358')"
2046,238 SERANGOON AVE 2,"('1.35354991177886', '103.86901411907')"
2047,317 SERANGOON AVE 2,"('1.35260972084146', '103.866222094228')"
2048,408 TAMPINES ST 41,"('1.35877855850616', '103.945268291852')"
2049,417 TAMPINES ST 41,"('1.35878092518789', '103.947275912962')"
2050,206 TAMPINES ST 21,"('1.35086005592172', '103.952352388168')"
2051,139 TAMPINES ST 11,"('1.34615587242231', '103.944507423219')"
2052,909 TAMPINES AVE 4,"('1.35019740098746', '103.939407095255')"
2053,276 TAMPINES ST 22,"('1.34744378451781', '103.950617728372')"
2054,930 TAMPINES ST 91,"('1.34596292007996', '103.939614775098')"
2055,213 TAMPINES ST 23,"('1.35479532321043', '103.953935558339')"
2056,208 TAMPINES ST 21,"('1.35120005626933', '103.953056653193')"
2057,107 TAMPINES ST 11,"('1.34832915462114', '103.948430663533')"
2058,915 TAMPINES ST 91,"('1.3486056231626', '103.939564083361')"
2059,911 TAMPINES ST 91,"('1.34983189105156', '103.939568613828')"
2060,931 TAMPINES ST 91,"('1.34587259826687', '103.939107246321')"
2061,448 TAMPINES ST 42,"('1.35740703260416', '103.950996054997')"
2062,449 TAMPINES ST 42,"('1.35702424225032', '103.951054363893')"
2063,230 TAMPINES ST 24,"('1.35593242580821', '103.952746609869')"
2064,419 TAMPINES ST 41,"('1.35783252178817', '103.946726918914')"
2065,423 TAMPINES ST 41,"('1.35707271057215', '103.947601553633')"
2066,815 TAMPINES AVE 4,"('1.34734692651401', '103.937409006158')"
2067,260 TAMPINES ST 21,"('1.35464005993806', '103.950100751181')"
2068,107 LOR 1 TOA PAYOH,"('1.34123358840729', '103.847294021513')"
2069,108 LOR 1 TOA PAYOH,"('1.34155252910062', '103.847295147125')"
2070,124 LOR 1 TOA PAYOH,"('1.33864876713615', '103.844627302235')"
2071,18 LOR 7 TOA PAYOH,"('1.33575723665506', '103.856789628423')"
2072,85 LOR 4 TOA PAYOH,"('1.33628536079156', '103.848428651446')"
2073,185 TOA PAYOH CTRL,"('1.33272795858038', '103.849994231509')"
2074,203 TOA PAYOH NTH,"('1.34205287411841', '103.84939599719')"
2075,194 KIM KEAT AVE,"('1.33093933675526', '103.858181909317')"
2076,104 POTONG PASIR AVE 1,"('1.3343391689203', '103.869158899303')"
2077,47 LOR 6 TOA PAYOH,"('1.33691029763166', '103.854030352751')"
2078,217 LOR 8 TOA PAYOH,"('1.34265870846085', '103.854665608196')"
2079,2A WOODLANDS CTR RD,
2080,148 WOODLANDS ST 13,"('1.43576274995203', '103.77402996229')"
2081,172 WOODLANDS ST 13,"('1.43397247465557', '103.777516916131')"
2082,215 MARSILING LANE,"('1.4476075755764', '103.772062005139')"
2083,731 YISHUN ST 72,"('1.42834858574606', '103.831116272448')"
2084,125 YISHUN ST 11,"('1.4339506942268', '103.830439843368')"
2085,214 YISHUN ST 21,"('1.43144616456684', '103.836318885001')"
2086,124 YISHUN ST 11,"('1.43459029961897', '103.831139302902')"
2087,255 YISHUN RING RD,"('1.43431631548686', '103.840689452912')"
2088,278 YISHUN ST 22,"('1.43831415037996', '103.838226869973')"
2089,754 YISHUN ST 72,"('1.42688859174215', '103.834067042338')"
2090,749 YISHUN ST 72,"('1.42837595256793', '103.834113498541')"
2091,139 YISHUN RING RD,"('1.43165616021317', '103.831319107107')"
2092,236 YISHUN RING RD,"('1.43403211971292', '103.83882419471')"
2093,269 YISHUN ST 22,"('1.4371253783415', '103.840329022671')"
2094,155 YISHUN ST 11,"('1.43188685735306', '103.834255994974')"
2095,805 YISHUN RING RD,"('1.41742722691875', '103.831588869701')"
2096,475 ANG MO KIO AVE 10,"('1.36266297827625', '103.85651592319')"
2097,533 ANG MO KIO AVE 5,"('1.3741692336847', '103.853001924476')"
2098,113 ANG MO KIO AVE 4,"('1.37178518125527', '103.835965663569')"
2099,325 ANG MO KIO AVE 3,"('1.36789986956821', '103.846887401387')"
2100,449 ANG MO KIO AVE 10,"('1.36785888260941', '103.856047007924')"
2101,537 ANG MO KIO AVE 5,"('1.37520009617687', '103.853059796325')"
2102,634 ANG MO KIO AVE 6,"('1.38158208102128', '103.84327351566')"
2103,132 ANG MO KIO AVE 3,"('1.37144743640862', '103.841783557978')"
2104,618 BEDOK RESERVOIR RD,"('1.33302040888706', '103.917037781105')"
2105,92 BEDOK NTH AVE 4,"('1.33244414877355', '103.941297978178')"
2106,113 BEDOK RESERVOIR RD,"('1.3299667100249', '103.910782526741')"
2107,121 BEDOK RESERVOIR RD,"('1.33130517787872', '103.909992224709')"
2108,35 CHAI CHEE AVE,"('1.32481986008075', '103.926258117679')"
2109,717 BEDOK RESERVOIR RD,"('1.33755208890136', '103.925449316134')"
2110,119 BEDOK NTH RD,"('1.33018552011132', '103.938716613648')"
2111,163 BEDOK STH RD,"('1.3197279369589', '103.946626870712')"
2112,405 BEDOK NTH AVE 3,"('1.32871338222698', '103.93409540275')"
2113,711 BEDOK RESERVOIR RD,"('1.3359734160825', '103.923690295889')"
2114,52 CHAI CHEE ST,"('1.32869685191205', '103.920949989657')"
2115,55 NEW UPP CHANGI RD,"('1.32509255644891', '103.942110168405')"
2116,66 BEDOK STH AVE 3,"('1.31849377884951', '103.943872460454')"
2117,112 BEDOK NTH RD,"('1.33104907831935', '103.935538768198')"
2118,115 BEDOK RESERVOIR RD,"('1.33067394377665', '103.908738351193')"
2119,25 SIN MING RD,"('1.35489092310003', '103.838189857539')"
2120,265 BT BATOK EAST AVE 4,"('1.35000839590252', '103.759862841397')"
2121,316 BT BATOK ST 32,"('1.3605766052846', '103.746834002944')"
2122,250 BT BATOK EAST AVE 5,"('1.35105549277865', '103.757080302123')"
2123,106 BT BATOK CTRL,"('1.3482223088624', '103.74718849849')"
2124,174 BT BATOK WEST AVE 8,"('1.34565480634643', '103.741047683313')"
2125,252 BT BATOK EAST AVE 5,"('1.35046768430888', '103.757238545624')"
2126,322 BT BATOK ST 33,"('1.36166738427595', '103.747725025434')"
2127,363 BT BATOK ST 31,"('1.36101444441179', '103.74944732312')"
2128,324 BT BATOK ST 33,"('1.36216472766267', '103.747628122263')"
2129,203 BT BATOK ST 21,"('1.3473325859581', '103.748990389685')"
2130,222 BT BATOK EAST AVE 3,"('1.3478485406884', '103.754034926985')"
2131,138 JLN BT MERAH,"('1.27842357024921', '103.826237590943')"
2132,138 ALEXANDRA RD,
2133,142 TIONG BAHRU RD,
2134,86 REDHILL CL,"('1.2869200622963', '103.818673592235')"
2135,91 ZION RD,
2136,27 TELOK BLANGAH WAY,"('1.27446866093398', '103.8214740879')"
2137,50 TELOK BLANGAH DR,"('1.27309040956353', '103.810143564301')"
2138,8 JLN RUMAH TINGGI,"('1.28857594666894', '103.807868203047')"
2139,111 BT PURMEI RD,"('1.27439718126241', '103.827239610439')"
2140,110 SPOTTISWOODE PK RD,"('1.2736382341353', '103.836420334733')"
2141,103 SPOTTISWOODE PK RD,"('1.27466096925721', '103.835279824837')"
2142,21 OUTRAM PK,
2143,4 ROCHOR RD,
2144,3 ROCHOR RD,
2145,53 CHIN SWEE RD,"('1.28762316970348', '103.841462885627')"
2146,637 VEERASAMY RD,"('1.30702756018287', '103.855527541511')"
2147,351 CLEMENTI AVE 2,"('1.31535006995344', '103.770861377512')"
2148,341 CLEMENTI AVE 5,"('1.31912053086005', '103.769057716535')"
2149,514 WEST COAST RD,"('1.30897250380713', '103.75923292909')"
2150,4 HAIG RD,"('1.31210124370815', '103.897187082666')"
2151,53 SIMS PL,"('1.31782374680828', '103.88007758537')"
2152,318 UBI AVE 1,"('1.32845731032674', '103.903274600324')"
2153,7 HAIG RD,"('1.31380661212249', '103.896910477404')"
2154,125 GEYLANG EAST AVE 1,"('1.31744387800501', '103.886373732265')"
2155,247 HOUGANG AVE 3,"('1.35916574841404', '103.891524298457')"
2156,401 HOUGANG AVE 10,"('1.37484071502492', '103.896993805')"
2157,412 HOUGANG AVE 10,"('1.374704823057', '103.895365669184')"
2158,704 HOUGANG AVE 2,"('1.3649231962434', '103.889379532965')"
2159,253 HOUGANG AVE 3,"('1.36042828831936', '103.892206900827')"
2160,703 HOUGANG AVE 2,"('1.36553095979945', '103.889460635529')"
2161,628 HOUGANG AVE 8,"('1.36956178513922', '103.880507506392')"
2162,35 TEBAN GDNS RD,"('1.31955255991308', '103.742644766325')"
2163,36 TEBAN GDNS RD,"('1.31997450302269', '103.742739188864')"
2164,330 JURONG EAST AVE 1,"('1.35055495259482', '103.73002911041')"
2165,301 JURONG EAST ST 32,"('1.34404144956674', '103.735500080389')"
2166,261 JURONG EAST ST 24,"('1.34449568862198', '103.740401081749')"
2167,338 JURONG EAST AVE 1,"('1.3502205690563', '103.731260625944')"
2168,409 PANDAN GDNS,"('1.31851207644417', '103.747372481331')"
2169,48 TEBAN GDNS RD,"('1.32049455420279', '103.739968203905')"
2170,226 JURONG EAST ST 21,"('1.34140471346947', '103.735843456176')"
2171,406 JURONG WEST ST 42,"('1.35431435538399', '103.722395940054')"
2172,541 JURONG WEST AVE 1,"('1.35104298967476', '103.715983010132')"
2173,533 JURONG WEST ST 52,"('1.34891152551365', '103.716458753581')"
2174,522 JURONG WEST ST 52,"('1.34645396448389', '103.716657742535')"
2175,523 JURONG WEST ST 52,"('1.34675547648094', '103.716157823017')"
2176,404 JURONG WEST ST 42,"('1.35392289168913', '103.722505715191')"
2177,549 JURONG WEST ST 42,"('1.35291393924454', '103.716072724817')"
2178,472 JURONG WEST ST 41,"('1.34812383298712', '103.722493887267')"
2179,471 JURONG WEST ST 41,"('1.34849427788134', '103.722162927115')"
2180,7 JLN BATU,"('1.33568700445849', '103.787831657868')"
2181,93 WHAMPOA DR,"('1.32227606663002', '103.854799917943')"
2182,47 BENDEMEER RD,"('1.3233974126952', '103.866812029524')"
2183,14 ST. GEORGE'S RD,"('1.32372959300757', '103.862088429598')"
2184,4 JLN BATU,"('1.30186342536084', '103.884045467548')"
2185,5 JLN BATU,"('1.30156359677462', '103.884028473673')"
2186,94 WHAMPOA DR,"('1.32197941678427', '103.855754340847')"
2187,99 WHAMPOA DR,"('1.32081280371197', '103.853803793872')"
2188,9 ST. GEORGE'S RD,"('1.32372379609506', '103.862995082822')"
2189,18 ST. GEORGE'S RD,"('1.32406159729828', '103.862833773877')"
2190,11 JLN BATU,"('1.30169639051101', '103.882578686361')"
2191,108 JLN RAJAH,"('1.32838935725024', '103.855750872335')"
2192,46 MARINE CRES,"('1.30510240111456', '103.91266479937')"
2193,29 MARINE CRES,"('1.3028498362788', '103.913197165824')"
2194,42 TANGLIN HALT RD,"('1.29847005618339', '103.798580178027')"
2195,39A C'WEALTH AVE,
2196,168 STIRLING RD,"('1.29002050735811', '103.80318804437')"
2197,67 C'WEALTH DR,"('1.29879980768029', '103.796258856252')"
2198,41 TANGLIN HALT RD,"('1.29822839879022', '103.798585389303')"
2199,23B QUEEN'S CL,"('1.29407333493258', '103.800026532056')"
2200,31 DOVER RD,
2201,5 SEMBAWANG RD,"('1.4413385706483', '103.822410591339')"
2202,110 SERANGOON NTH AVE 1,"('1.36938351007707', '103.8714075184')"
2203,235 SERANGOON AVE 3,"('1.35511076107735', '103.869934707698')"
2204,101 SERANGOON NTH AVE 1,"('1.37103631988089', '103.870360910842')"
2205,308 SERANGOON AVE 2,"('1.35417532963527', '103.865967051985')"
2206,236 SERANGOON AVE 3,"('1.35424006743426', '103.869821831929')"
2207,225 TAMPINES ST 23,"('1.35515863595555', '103.95401278891')"
2208,806 TAMPINES AVE 4,"('1.34554033527408', '103.936875522387')"
2209,837 TAMPINES ST 83,"('1.35088781368026', '103.934458619058')"
2210,290 TAMPINES ST 22,"('1.34988127726089', '103.954596296501')"
2211,296 TAMPINES ST 22,"('1.35098787549144', '103.955482035159')"
2212,122 SIMEI ST 1,"('1.34557177331253', '103.95249806135')"
2213,857 TAMPINES ST 83,"('1.35430306838396', '103.93590010205')"
2214,186 TOA PAYOH CTRL,"('1.3326539531256', '103.85021164455')"
2215,207 TOA PAYOH NTH,"('1.34240196967061', '103.84522651153')"
2216,89 LOR 2 TOA PAYOH,
2217,118 POTONG PASIR AVE 1,"('1.33548147418923', '103.862653751675')"
2218,4 UPP ALJUNIED LANE,"('1.33354743210386', '103.879065838406')"
2219,72 LOR 5 TOA PAYOH,"('1.33387681149467', '103.852072555858')"
2220,214 LOR 8 TOA PAYOH,"('1.34183370695987', '103.854370726041')"
2221,224 LOR 8 TOA PAYOH,"('1.34117607884148', '103.85606624411')"
2222,132 POTONG PASIR AVE 1,"('1.33417548310927', '103.865610687284')"
2223,129 MARSILING RISE,"('1.43781136682326', '103.778702019627')"
2224,152 WOODLANDS ST 13,"('1.43506711706505', '103.77423129783')"
2225,27 MARSILING DR,"('1.44209907015608', '103.773954877015')"
2226,118 YISHUN RING RD,"('1.43598707842969', '103.828641482509')"
2227,707 YISHUN AVE 5,"('1.42893488907136', '103.827716191445')"
2228,735 YISHUN ST 72,"('1.42892493142687', '103.83124139277')"
2229,746 YISHUN ST 72,"('1.42892003886143', '103.833476161421')"
2230,202 YISHUN ST 21,"('1.43066191912434', '103.837334321945')"
2231,133 YISHUN ST 11,"('1.43255737199893', '103.830784110499')"
2232,227 YISHUN ST 21,"('1.435069715602', '103.836644751474')"
2233,253 YISHUN RING RD,"('1.43507473889027', '103.840795048444')"
2234,228 YISHUN ST 21,"('1.43533747562924', '103.837523010219')"
2235,230 YISHUN ST 21,"('1.43457623282091', '103.836620800984')"
2236,246 YISHUN AVE 9,"('1.43509085774181', '103.84269104902')"
2237,256 YISHUN RING RD,"('1.43409342070863', '103.839979155802')"
2238,119 ANG MO KIO AVE 3,"('1.36956344301912', '103.844698910817')"
2239,649 ANG MO KIO AVE 5,"('1.37776263842074', '103.843782193293')"
2240,540 ANG MO KIO AVE 10,"('1.37529376778898', '103.855452425625')"
2241,635 ANG MO KIO AVE 6,"('1.38076896104696', '103.842378423538')"
2242,153 ANG MO KIO AVE 5,"('1.37635745661369', '103.842056476563')"
2243,327 ANG MO KIO AVE 3,"('1.36705284380639', '103.846987446489')"
2244,413 ANG MO KIO AVE 10,"('1.36352581163205', '103.853675347126')"
2245,426 ANG MO KIO AVE 3,"('1.36948046776679', '103.853309796692')"
2246,636 ANG MO KIO AVE 6,"('1.38115265431721', '103.843310287802')"
2247,151 ANG MO KIO AVE 5,"('1.37671105271454', '103.841168190659')"
2248,74 BEDOK NTH RD,"('1.32751177120151', '103.942220384041')"
2249,108 BEDOK NTH RD,"('1.33274009226511', '103.936223519694')"
2250,409 BEDOK NTH AVE 2,"('1.3281029219141', '103.932938109001')"
2251,410 BEDOK NTH AVE 2,"('1.32788785914047', '103.931835804463')"
2252,553 BEDOK NTH AVE 1,"('1.33149366261597', '103.927818703986')"
2253,552 BEDOK NTH AVE 1,"('1.33190104988461', '103.927743782081')"
2254,601 BEDOK RESERVOIR RD,"('1.33006721315152', '103.911619264196')"
2255,104 BEDOK RESERVOIR RD,"('1.32924536652386', '103.909923721507')"
2256,101 BEDOK RESERVOIR RD,"('1.32844913301985', '103.909937396599')"
2257,131 BEDOK RESERVOIR RD,"('1.3331220560709', '103.911711197755')"
2258,306 SHUNFU RD,"('1.35029143230261', '103.83930130692')"
2259,247 BT BATOK EAST AVE 5,"('1.34992955087992', '103.756979034067')"
2260,341 BT BATOK ST 34,"('1.36280451951487', '103.749157203985')"
2261,241 BT BATOK EAST AVE 5,"('1.3508952364452', '103.75454446951')"
2262,255 BT BATOK EAST AVE 4,"('1.35014567071178', '103.758465278484')"
2263,259 BT BATOK EAST AVE 4,"('1.35085859711904', '103.759761122934')"
2264,367 BT BATOK ST 31,"('1.36033274170697', '103.749691516072')"
2265,302 BT BATOK ST 31,"('1.35711725438592', '103.748423168363')"
2266,263 BT BATOK EAST AVE 4,"('1.35029153722115', '103.759090413855')"
2267,233 BT BATOK EAST AVE 5,"('1.3488252646597', '103.755127558884')"
2268,360 BT BATOK ST 31,"('1.36106704830424', '103.750625432011')"
2269,113 JLN BT MERAH,"('1.28027764882907', '103.82572355886')"
2270,14 TAMAN HO SWEE,"('1.28790461781044', '103.83219770269')"
2271,24 BEO CRES,"('1.28852535171166', '103.828458597142')"
2272,47 TELOK BLANGAH DR,"('1.27204427103763', '103.810096953624')"
2273,10 TELOK BLANGAH CRES,"('1.27773153190559', '103.819769431353')"
2274,161 BT MERAH CTRL,"('1.28391229397444', '103.816006111441')"
2275,27 LIM LIAK ST,"('1.28543704177023', '103.830839342729')"
2276,56 TELOK BLANGAH HTS,"('1.27425274045994', '103.812429094644')"
2277,8 KIM TIAN PL,"('1.28302965610411', '103.827236715363')"
2278,49 TELOK BLANGAH DR,"('1.27220181541331', '103.811060837387')"
2279,67 TELOK BLANGAH DR,"('1.274636588887', '103.809632802144')"
2280,109 SPOTTISWOODE PK RD,"('1.27403187291578', '103.83665274606')"
2281,9 JLN KUKOH,"('1.2876742577682', '103.838857901085')"
2282,434 CLEMENTI AVE 3,"('1.31456889716041', '103.761612603199')"
2283,376 CLEMENTI AVE 4,"('1.31810006477416', '103.766692603667')"
2284,202 CLEMENTI AVE 6,"('1.32069236445881', '103.762714694971')"
2285,52 SIMS PL,"('1.31666544739611', '103.880390526566')"
2286,93 PAYA LEBAR WAY,"('1.32273476922747', '103.888103196257')"
2287,20 BALAM RD,"('1.33083095249698', '103.887507765547')"
2288,15 EUNOS CRES,"('1.32385970958716', '103.90336356772')"
2289,7 HOUGANG AVE 3,"('1.36232721881747', '103.893510807642')"
2290,102 HOUGANG AVE 1,"('1.35496446293882', '103.890855054687')"
2291,240 HOUGANG ST 22,"('1.3564226661287', '103.890651695359')"
2292,415 HOUGANG AVE 10,"('1.37517507468581', '103.896537715818')"
2293,101 HOUGANG AVE 1,"('1.35493747800562', '103.891360573947')"
2294,336 HOUGANG AVE 7,"('1.3693032100873', '103.898351173028')"
2295,708 HOUGANG AVE 2,"('1.36669418462152', '103.88909314947')"
2296,230 HOUGANG AVE 1,"('1.358899944034', '103.888345777377')"
2297,245 JURONG EAST ST 24,"('1.3416807983165', '103.741783307334')"
2298,47 TEBAN GDNS RD,"('1.32012627849168', '103.739888486506')"
2299,204 JURONG EAST ST 21,"('1.3371914743342', '103.741941852951')"
2300,473 JURONG WEST ST 41,"('1.34883175011115', '103.722734202036')"
2301,460 JURONG WEST ST 41,"('1.34991931821997', '103.720692262748')"
2302,552 JURONG WEST ST 42,"('1.35275290532096', '103.717763434614')"
2303,548 JURONG WEST ST 42,"('1.3536653557826', '103.716101539752')"
2304,76 LOR LIMAU,"('1.32502427886167', '103.854232129189')"
2305,61 JLN TENTERAM,"('1.32797110234326', '103.857572661207')"
2306,466 CRAWFORD LANE,"('1.30508442984799', '103.862599006613')"
2307,76 MARINE DR,"('1.3029350083075', '103.907739044319')"
2308,17 MARINE TER,"('1.30376782197877', '103.914176046886')"
2309,38 DOVER RD,
2310,5 DOVER CRES,"('1.30406012764311', '103.782637200936')"
2311,112 C'WEALTH CRES,"('1.30661660830307', '103.798183841941')"
2312,8 GHIM MOH RD,"('1.31057227583682', '103.787643069812')"
2313,21 HOLLAND DR,"('1.3109761247096', '103.792379920443')"
2314,112 SERANGOON NTH AVE 1,"('1.36919996934693', '103.871588808817')"
2315,124 SERANGOON NTH AVE 1,"('1.36618689571987', '103.871419458199')"
2316,220 SERANGOON AVE 4,"('1.35874143844472', '103.872227097734')"
2317,444 TAMPINES ST 42,"('1.35834096888655', '103.951379730883')"
2318,854 TAMPINES ST 82,"('1.35302683671628', '103.936584448142')"
2319,406 TAMPINES ST 41,"('1.35782898281099', '103.945792875974')"
2320,158 TAMPINES ST 12,"('1.35141456108804', '103.945859048593')"
2321,140 TAMPINES ST 12,"('1.3477319115079', '103.94412402405')"
2322,256 TAMPINES ST 21,"('1.35323572708512', '103.949946614899')"
2323,288 TAMPINES ST 22,"('1.34885277403052', '103.954704571774')"
2324,165 TAMPINES ST 12,"('1.34925962313654', '103.945859451023')"
2325,112 LOR 1 TOA PAYOH,"('1.34155339914007', '103.845489613448')"
2326,3 LOR 7 TOA PAYOH,"('1.33919545395688', '103.854450883864')"
2327,34 LOR 5 TOA PAYOH,"('1.33479973301368', '103.854155463')"
2328,158 LOR 1 TOA PAYOH,"('1.33146601004937', '103.84505463634')"
2329,202 TOA PAYOH NTH,"('1.34152911615925', '103.849589127712')"
2330,13 JOO SENG RD,"('1.33570446170185', '103.879466009316')"
